TT	PID	AT	CT	IO_D	WT	RT	TRT
6092	70	138	80	0	5874	247	5954
6106	288	464	273	0	5369	11	5642
6134	280	449	183	40	5502	1060	5685
6162	110	193	222	31	5747	54	5969
6223	257	414	72	0	5737	835	5809
6226	180	297	65	50	5864	97	5929
6331	252	409	224	23	5698	359	5922
6356	77	145	188	128	6023	304	6211
6414	234	384	62	57	5968	1	6030
6434	259	418	128	59	5888	367	6016
6478	212	350	77	27	6051	555	6128
6479	279	446	267	36	5766	476	6033
6491	81	152	265	0	6074	204	6339
6523	24	48	267	0	6208	43	6475
6537	254	413	113	32	6011	358	6124
6569	109	192	261	0	6116	52	6377
6675	240	393	155	0	6127	328	6282
6695	251	408	88	111	6199	357	6287
6703	23	45	102	44	6556	7	6658
6722	62	129	76	0	6517	18	6593
6727	270	438	161	0	6128	99	6289
6740	282	453	148	71	6139	489	6287
6746	67	137	82	6	6527	213	6609
6812	178	293	207	0	6312	1	6519
6859	99	178	65	61	6616	18	6681
6871	122	212	93	80	6566	249	6659
6877	247	406	66	0	6405	849	6471
6899	239	391	181	0	6327	418	6508
6915	225	366	202	91	6347	291	6549
6919	206	339	155	92	6425	740	6580
6928	31	57	123	0	6748	21	6871
6996	155	261	134	51	6601	80	6735
7138	241	393	214	46	6531	363	6745
7172	105	187	170	24	6815	36	6985
7215	290	470	74	20	6671	17	6745
7260	244	401	223	0	6636	358	6859
7315	248	406	82	0	6827	1094	6909
7386	287	464	290	27	6632	10	6922
7562	228	374	281	9	6907	551	7188
7578	211	347	84	76	7147	333	7231
7622	157	264	150	0	7208	46	7358
7656	265	430	79	0	7147	932	7226
7715	249	407	198	57	7110	493	7308
7765	151	257	128	0	7380	211	7508
7799	27	52	179	99	7568	12	7747
7835	164	272	176	0	7387	344	7563
7883	112	195	97	0	7591	28	7688
7989	59	122	267	40	7600	312	7867
8106	272	440	270	86	7396	521	7666
8117	95	174	245	36	7698	4	7943
8128	85	160	171	26	7797	260	7968
8138	60	124	108	0	7906	313	8014
8164	87	161	94	0	7909	35	8003
8188	75	144	101	0	7943	244	8044
8242	266	433	277	70	7532	89	7809
8278	72	140	253	0	7885	479	8138
8296	190	313	106	7	7877	1	7983
8338	32	57	127	0	8154	58	8281
8371	237	387	96	0	7888	584	7984
8377	183	299	220	16	7858	1109	8078
8417	92	170	126	55	8121	238	8247
8434	53	106	165	0	8163	2	8328
8486	221	365	213	0	7908	263	8121
8556	86	161	221	89	8174	1	8395
8572	133	230	128	8	8214	59	8342
8597	230	376	139	0	8082	1	8221
8695	83	156	150	71	8389	225	8539
8700	107	189	226	0	8285	46	8511
8704	25	51	107	44	8546	9	8653
8737	97	174	111	50	8452	10	8563
8758	156	263	227	65	8268	84	8495
8861	250	407	272	32	8182	355	8454
8878	136	235	146	61	8497	63	8643
8882	277	444	271	45	8167	274	8438
8907	256	414	94	0	8399	363	8493
8911	295	477	261	0	8173	34	8434
8921	22	43	178	0	8700	3	8878
8923	57	116	113	0	8694	1291	8807
8942	104	186	172	17	8584	34	8756
8961	227	372	108	0	8481	1	8589
8995	219	362	225	0	8408	68	8633
9007	291	471	128	103	8408	19	8536
9016	296	480	126	51	8410	37	8536
9033	93	172	285	0	8576	151	8861
9106	111	195	298	0	8613	58	8911
9125	35	65	167	0	8893	5	9060
9137	65	132	258	26	8747	4	9005
9150	286	464	282	0	8404	7	8686
9199	11	20	246	80	8933	92	9179
9204	223	366	105	0	8733	306	8838
9207	29	55	123	20	9029	12	9152
9212	292	472	125	86	8615	21	8740
9259	197	325	115	0	8819	364	8934
9265	289	467	213	16	8585	14	8798
9344	262	425	127	0	8792	363	8919
9383	90	168	93	0	9122	592	9215
9429	30	55	127	73	9247	15	9374
9519	255	413	277	58	8829	361	9106
9540	243	398	224	27	8918	4	9142
9575	196	324	138	50	9113	359	9251
9602	114	196	266	19	9140	180	9406
9658	258	416	126	0	9116	505	9242
9681	82	154	283	70	9244	36	9527
9730	264	429	145	0	9156	659	9301
9740	28	53	262	79	9425	16	9687
9753	74	144	274	9	9335	302	9609
9775	6	15	263	63	9497	1	9760
9781	124	215	110	36	9456	249	9566
9895	187	306	269	71	9320	683	9589
9936	148	250	264	0	9422	39	9686
9957	41	80	116	39	9761	665	9877
9987	146	246	212	6	9529	171	9741
10004	191	313	154	68	9537	2	9691
10011	20	42	187	0	9782	4	9969
10018	186	305	130	0	9583	104	9713
10031	293	472	187	0	9372	24	9559
10062	284	458	205	0	9399	1	9604
10090	98	175	296	36	9619	12	9915
10097	78	147	207	0	9743	19	9950
10117	245	402	145	0	9570	689	9715
10122	101	179	291	0	9652	23	9943
10136	283	455	143	0	9538	1040	9681
10159	172	285	242	17	9632	1	9874
10169	232	379	123	41	9667	540	9790
10203	9	19	166	55	10018	3	10184
10206	173	287	293	97	9626	116	9919
10211	229	376	191	51	9644	635	9835
10223	253	411	172	0	9640	537	9812
10259	147	247	197	0	9815	174	10012
10270	208	342	162	0	9766	548	9928
10296	52	103	241	0	9952	522	10193
10313	161	269	251	0	9793	153	10044
10331	179	296	235	58	9800	104	10035
10341	273	442	182	0	9717	1	9899
10365	129	222	250	0	9893	250	10143
10426	117	202	290	0	9934	36	10224
10438	182	299	162	0	9977	1115	10139
10439	226	369	173	58	9897	637	10070
10452	21	43	196	0	10213	381	10409
10479	14	27	199	0	10253	10	10452
10480	238	389	231	35	9860	613	10091
10502	285	461	280	93	9761	4	10041
10504	19	39	191	13	10274	388	10465
10557	210	345	248	0	9964	660	10212
10662	278	444	166	0	10052	105	10218
10662	275	443	294	67	9925	481	10219
10675	202	334	261	12	10080	1338	10341
10679	144	244	196	0	10239	866	10435
10687	141	241	238	43	10208	69	10446
10691	48	94	189	68	10408	297	10597
10701	159	266	221	81	10214	46	10435
10717	88	163	240	99	10314	221	10554
10738	231	378	158	53	10202	868	10360
10748	235	386	205	0	10157	328	10362
10767	207	341	259	0	10167	137	10426
10769	34	62	294	0	10413	17	10707
10782	135	232	206	45	10344	419	10550
10789	108	189	204	69	10396	49	10600
10797	56	114	226	87	10457	829	10683
10828	192	316	217	0	10295	670	10512
10830	170	279	206	7	10345	458	10551
10846	55	111	217	34	10518	567	10735
10857	189	311	191	48	10355	2010	10546
10865	195	321	284	0	10260	902	10544
10899	84	158	237	0	10504	30	10741
10910	177	292	221	0	10397	986	10618
10919	184	302	163	22	10454	719	10617
10926	113	196	188	0	10542	31	10730
10930	120	209	234	66	10487	731	10721
10933	123	212	262	0	10459	33	10721
10947	222	365	231	37	10351	304	10582
10955	91	170	233	0	10552	248	10785
10957	36	68	292	45	10597	1	10889
10961	188	308	225	7	10428	646	10653
10973	54	109	174	0	10690	5	10864
10987	96	174	245	94	10568	7	10813
11002	50	99	280	21	10623	1	10903
11040	169	278	287	0	10475	680	10762
11040	218	360	242	0	10438	437	10680
11063	216	357	270	12	10436	437	10706
11066	224	366	289	0	10411	271	10700
11104	198	326	292	0	10486	1020	10778
Processes: 318

Avg WT=5861,		Avg RT=249,		Avg TRT=6014
Migration:		RTF = 0%		MaxW = 87% 
Work Steal: 950% 
Forked Process: 5% 
Killed Process: 4% 
Before Deadline: 6% 

Processors: 8 [3 FCFS, 0 SJF, 2 EDF, 3 RR]
Processor Load
p1=7%	p2=7%	p3=10%	p4=22%	p5=20%	p6=29%	p7=29%	p8=31%	

Processor Utilization
p1=25%	p2=25%	p3=32%	p4=92%	p5=86%	p6=92%	p7=92%	p8=92%	

Avg utilization = 67% 
